Price,Close,High,Low,Open,Volume
Ticker,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI
Datetime,,,,,
2026-01-23 06:19:00+00:00,25193.349609375,25212.80078125,25193.349609375,25212.44921875,0
2026-01-23 06:20:00+00:00,25193.44921875,25200.80078125,25191.599609375,25193.44921875,0
2026-01-23 06:21:00+00:00,25203.900390625,25207.0,25193.94921875,25194.150390625,0
2026-01-23 06:22:00+00:00,25210.94921875,25213.0,25202.05078125,25204.44921875,0
2026-01-23 06:23:00+00:00,25216.099609375,25224.650390625,25210.80078125,25210.80078125,0
2026-01-23 06:24:00+00:00,25207.44921875,25216.94921875,25206.650390625,25216.0,0
2026-01-23 06:25:00+00:00,25208.400390625,25210.25,25206.400390625,25208.05078125,0
2026-01-23 06:26:00+00:00,25204.94921875,25212.55078125,25203.05078125,25206.650390625,0
2026-01-23 06:27:00+00:00,25209.0,25211.05078125,25202.94921875,25204.25,0
2026-01-23 06:28:00+00:00,25210.349609375,25213.05078125,25207.69921875,25208.400390625,0
2026-01-23 06:29:00+00:00,25215.19921875,25218.150390625,25208.599609375,25210.30078125,0
2026-01-23 06:30:00+00:00,25209.75,25217.650390625,25209.75,25214.75,0
2026-01-23 06:31:00+00:00,25204.94921875,25210.650390625,25203.55078125,25210.400390625,0
2026-01-23 06:32:00+00:00,25200.44921875,25206.900390625,25198.150390625,25205.099609375,0
2026-01-23 06:33:00+00:00,25217.69921875,25218.94921875,25198.900390625,25198.900390625,0
2026-01-23 06:34:00+00:00,25219.150390625,25223.30078125,25217.099609375,25217.19921875,0
2026-01-23 06:35:00+00:00,25207.80078125,25218.55078125,25207.400390625,25218.55078125,0
2026-01-23 06:36:00+00:00,25200.30078125,25208.849609375,25200.19921875,25207.69921875,0
2026-01-23 06:37:00+00:00,25189.5,25201.5,25189.099609375,25200.599609375,0
2026-01-23 06:38:00+00:00,25190.849609375,25197.900390625,25189.099609375,25189.099609375,0
2026-01-23 06:39:00+00:00,25189.55078125,25192.75,25186.849609375,25191.69921875,0
2026-01-23 06:40:00+00:00,25190.30078125,25194.25,25188.05078125,25190.849609375,0
2026-01-23 06:41:00+00:00,25192.25,25195.30078125,25188.44921875,25189.94921875,0
2026-01-23 06:42:00+00:00,25194.19921875,25195.80078125,25188.44921875,25190.75,0
2026-01-23 06:43:00+00:00,25187.69921875,25194.099609375,25187.55078125,25193.849609375,0
2026-01-23 06:44:00+00:00,25185.19921875,25190.099609375,25183.94921875,25187.75,0
2026-01-23 06:45:00+00:00,25193.099609375,25194.69921875,25185.94921875,25185.94921875,0
